Ticker,Company,Country,Sector,Industry
MMM,3M Company,United States,Industrials,Conglomerates
AOS,A. O. Smith Corporation,United States,Industrials,Specialty Industrial Machinery
ABT,Abbott Laboratories,United States,Healthcare,Medical Devices
ABBV,AbbVie Inc.,United States,Healthcare,Drug Manufacturers - General
ACN,Accenture plc,Ireland,Technology,Information Technology Services
ADBE,Adobe Inc.,United States,Technology,Software - Application
AMD,"Advanced Micro Devices, Inc.",United States,Technology,Semiconductors
AES,The AES Corporation,United States,Utilities,Utilities - Diversified
AFL,Aflac Incorporated,United States,Financial Services,Insurance - Life
A,"Agilent Technologies, Inc.",United States,Healthcare,Diagnostics & Research
APD,"Air Products and Chemicals, Inc.",United States,Basic Materials,Specialty Chemicals
ABNB,"Airbnb, Inc.",United States,Consumer Cyclical,Travel Services
AKAM,"Akamai Technologies, Inc.",United States,Technology,Software - Infrastructure
ALB,Albemarle Corporation,United States,Basic Materials,Specialty Chemicals
ARE,"Alexandria Real Estate Equities, Inc.",United States,Real Estate,REIT - Office
ALGN,"Align Technology, Inc.",United States,Healthcare,Medical Instruments & Supplies
ALLE,Allegion plc,Ireland,Industrials,Security & Protection Services
LNT,Alliant Energy Corporation,United States,Utilities,Utilities - Regulated Electric
ALL,The Allstate Corporation,United States,Financial Services,Insurance - Property & Casualty
GOOGL,Alphabet Inc.,United States,Communication Services,Internet Content & Information
GOOG,Alphabet Inc.,United States,Communication Services,Internet Content & Information
MO,"Altria Group, Inc.",United States,Consumer Defensive,Tobacco
AMZN,"Amazon.com, Inc.",United States,Consumer Cyclical,Internet Retail
AMCR,Amcor plc,Switzerland,Consumer Cyclical,Packaging & Containers
AEE,Ameren Corporation,United States,Utilities,Utilities - Regulated Electric
AEP,"American Electric Power Company, Inc.",United States,Utilities,Utilities - Regulated Electric
AXP,American Express Company,United States,Financial Services,Credit Services
AIG,"American International Group, Inc.",United States,Financial Services,Insurance - Diversified
AMT,American Tower Corporation,United States,Real Estate,REIT - Specialty
AWK,"American Water Works Company, Inc.",United States,Utilities,Utilities - Regulated Water
AMP,"Ameriprise Financial, Inc.",United States,Financial Services,Asset Management
AME,"AMETEK, Inc.",United States,Industrials,Specialty Industrial Machinery
AMGN,Amgen Inc.,United States,Healthcare,Drug Manufacturers - General
APH,Amphenol Corporation,United States,Technology,Electronic Components
ADI,"Analog Devices, Inc.",United States,Technology,Semiconductors
ANSS,"ANSYS, Inc.",United States,Technology,Software - Application
AON,Aon plc,Ireland,Financial Services,Insurance Brokers
APA,APA Corporation,United States,Energy,Oil & Gas E&P
APO,"Apollo Global Management, Inc.",United States,Financial Services,Asset Management
AAPL,Apple Inc.,United States,Technology,Consumer Electronics
AMAT,"Applied Materials, Inc.",United States,Technology,Semiconductor Equipment & Materials
APTV,Aptiv PLC,Switzerland,Consumer Cyclical,Auto Parts
ACGL,Arch Capital Group Ltd.,Bermuda,Financial Services,Insurance - Diversified
