Ticker,Sector,Industry
MMM,Industrials,Conglomerates
AOS,Industrials,Specialty Industrial Machinery
ABT,Healthcare,Medical Devices
ABBV,Healthcare,Drug Manufacturers - General
ACN,Technology,Information Technology Services
ADBE,Technology,Software - Application
AMD,Technology,Semiconductors
AES,Utilities,Utilities - Diversified
AFL,Financial Services,Insurance - Life
A,Healthcare,Diagnostics & Research
APD,Basic Materials,Specialty Chemicals
ABNB,Consumer Cyclical,Travel Services
AKAM,Technology,Software - Infrastructure
ALB,Basic Materials,Specialty Chemicals
ARE,Real Estate,REIT - Office
ALGN,Healthcare,Medical Instruments & Supplies
ALLE,Industrials,Security & Protection Services
LNT,Utilities,Utilities - Regulated Electric
ALL,Financial Services,Insurance - Property & Casualty
GOOGL,Communication Services,Internet Content & Information
GOOG,Communication Services,Internet Content & Information
MO,Consumer Defensive,Tobacco
AMZN,Consumer Cyclical,Internet Retail
AMCR,Consumer Cyclical,Packaging & Containers
AEE,Utilities,Utilities - Regulated Electric
AEP,Utilities,Utilities - Regulated Electric
AXP,Financial Services,Credit Services
AIG,Financial Services,Insurance - Diversified
AMT,Real Estate,REIT - Specialty
AWK,Utilities,Utilities - Regulated Water
AMP,Financial Services,Asset Management
AME,Industrials,Specialty Industrial Machinery
AMGN,Healthcare,Drug Manufacturers - General
APH,Technology,Electronic Components
ADI,Technology,Semiconductors
ANSS,Technology,Software - Application
AON,Financial Services,Insurance Brokers
APA,Energy,Oil & Gas E&P
APO,Financial Services,Asset Management
AAPL,Technology,Consumer Electronics
AMAT,Technology,Semiconductor Equipment & Materials
APTV,Consumer Cyclical,Auto Parts
ACGL,Financial Services,Insurance - Diversified
ADM,Consumer Defensive,Farm Products
ANET,Technology,Computer Hardware
AJG,Financial Services,Insurance Brokers
AIZ,Financial Services,Insurance - Property & Casualty
T,Communication Services,Telecom Services
ATO,Utilities,Utilities - Regulated Gas
ADSK,Technology,Software - Application
ADP,Technology,Software - Application
AZO,Consumer Cyclical,Specialty Retail
AVB,Real Estate,REIT - Residential
AVY,Consumer Cyclical,Packaging & Containers
AXON,Industrials,Aerospace & Defense
BKR,Energy,Oil & Gas Equipment & Services
BALL,Consumer Cyclical,Packaging & Containers
BAC,Financial Services,Banks - Diversified
BAX,Healthcare,Medical Instruments & Supplies
BDX,Healthcare,Medical Instruments & Supplies
BRK.B,Financial Services,Insurance - Diversified
BBY,Consumer Cyclical,Specialty Retail
TECH,Healthcare,Biotechnology
BIIB,Healthcare,Drug Manufacturers - General
BLK,Financial Services,Asset Management
BX,Financial Services,Asset Management
BK,Financial Services,Banks - Diversified
BA,Industrials,Aerospace & Defense
BKNG,Consumer Cyclical,Travel Services
BWA,Consumer Cyclical,Auto Parts
BSX,Healthcare,Medical Devices
BMY,Healthcare,Drug Manufacturers - General
AVGO,Technology,Semiconductors
BR,Technology,Information Technology Services
BRO,Financial Services,Insurance Brokers
BF.B,Consumer Defensive,Beverages - Wineries & Distilleries
BLDR,Industrials,Building Products & Equipment
BG,Consumer Defensive,Farm Products
BXP,Real Estate,REIT - Office
CHRW,Industrials,Integrated Freight & Logistics
CDNS,Technology,Software - Application
CZR,Consumer Cyclical,Resorts & Casinos
CPT,Real Estate,REIT - Residential
CPB,Consumer Defensive,Packaged Foods
COF,Financial Services,Credit Services
CAH,Healthcare,Medical Distribution
KMX,Consumer Cyclical,Auto & Truck Dealerships
CCL,Consumer Cyclical,Travel Services
CARR,Industrials,Building Products & Equipment
CAT,Industrials,Farm & Heavy Construction Machinery
CBOE,Financial Services,Financial Data & Stock Exchanges
CBRE,Real Estate,Real Estate Services
CDW,Technology,Information Technology Services
CE,Basic Materials,Chemicals
COR,Healthcare,Medical Distribution
CNC,Healthcare,Healthcare Plans
CNP,Utilities,Utilities - Regulated Electric
CF,Basic Materials,Agricultural Inputs
CRL,Healthcare,Diagnostics & Research
SCHW,Financial Services,Capital Markets
CHTR,Communication Services,Telecom Services
CVX,Energy,Oil & Gas Integrated
CMG,Consumer Cyclical,Restaurants
CB,Financial Services,Insurance - Property & Casualty
CHD,Consumer Defensive,Household & Personal Products
CI,Healthcare,Healthcare Plans
CINF,Financial Services,Insurance - Property & Casualty
CTAS,Industrials,Specialty Business Services
CSCO,Technology,Communication Equipment
C,Financial Services,Banks - Diversified
CFG,Financial Services,Banks - Regional
CLX,Consumer Defensive,Household & Personal Products
CME,Financial Services,Financial Data & Stock Exchanges
CMS,Utilities,Utilities - Regulated Electric
KO,Consumer Defensive,Beverages - Non-Alcoholic
CTSH,Technology,Information Technology Services
CL,Consumer Defensive,Household & Personal Products
CMCSA,Communication Services,Telecom Services
CAG,Consumer Defensive,Packaged Foods
COP,Energy,Oil & Gas E&P
ED,Utilities,Utilities - Regulated Electric
STZ,Consumer Defensive,Beverages - Brewers
CEG,Utilities,Utilities - Renewable
COO,Healthcare,Medical Instruments & Supplies
CPRT,Industrials,Specialty Business Services
GLW,Technology,Electronic Components
CPAY,Technology,Software - Infrastructure
CTVA,Basic Materials,Agricultural Inputs
CSGP,Real Estate,Real Estate Services
COST,Consumer Defensive,Discount Stores
CTRA,Energy,Oil & Gas E&P
CRWD,Technology,Software - Infrastructure
CCI,Real Estate,REIT - Specialty
CSX,Industrials,Railroads
CMI,Industrials,Specialty Industrial Machinery
CVS,Healthcare,Healthcare Plans
DHR,Healthcare,Diagnostics & Research
DRI,Consumer Cyclical,Restaurants
DVA,Healthcare,Medical Care Facilities
DAY,Technology,Software - Application
DECK,Consumer Cyclical,Footwear & Accessories
DE,Industrials,Farm & Heavy Construction Machinery
DELL,Technology,Computer Hardware
DAL,Industrials,Airlines
DVN,Energy,Oil & Gas E&P
DXCM,Healthcare,Medical Devices
FANG,Energy,Oil & Gas E&P
DLR,Real Estate,REIT - Specialty
DFS,Financial Services,Credit Services
DG,Consumer Defensive,Discount Stores
DLTR,Consumer Defensive,Discount Stores
D,Utilities,Utilities - Regulated Electric
DPZ,Consumer Cyclical,Restaurants
DOV,Industrials,Specialty Industrial Machinery
DOW,Basic Materials,Chemicals
DHI,Consumer Cyclical,Residential Construction
DTE,Utilities,Utilities - Regulated Electric
DUK,Utilities,Utilities - Regulated Electric
DD,Basic Materials,Specialty Chemicals
EMN,Basic Materials,Specialty Chemicals
ETN,Industrials,Specialty Industrial Machinery
EBAY,Consumer Cyclical,Internet Retail
ECL,Basic Materials,Specialty Chemicals
EIX,Utilities,Utilities - Regulated Electric
EW,Healthcare,Medical Devices
EA,Communication Services,Electronic Gaming & Multimedia
ELV,Healthcare,Healthcare Plans
EMR,Industrials,Specialty Industrial Machinery
ENPH,Technology,Solar
ETR,Utilities,Utilities - Regulated Electric
EOG,Energy,Oil & Gas E&P
EPAM,Technology,Information Technology Services
EQT,Energy,Oil & Gas E&P
EFX,Industrials,Consulting Services
EQIX,Real Estate,REIT - Specialty
EQR,Real Estate,REIT - Residential
ERIE,Financial Services,Insurance Brokers
ESS,Real Estate,REIT - Residential
EL,Consumer Defensive,Household & Personal Products
EG,Financial Services,Insurance - Reinsurance
EVRG,Utilities,Utilities - Regulated Electric
ES,Utilities,Utilities - Regulated Electric
EXC,Utilities,Utilities - Regulated Electric
EXPE,Consumer Cyclical,Travel Services
EXPD,Industrials,Integrated Freight & Logistics
EXR,Real Estate,REIT - Industrial
XOM,Energy,Oil & Gas Integrated
FFIV,Technology,Software - Infrastructure
FDS,Financial Services,Financial Data & Stock Exchanges
FICO,Technology,Software - Application
FAST,Industrials,Industrial Distribution
FRT,Real Estate,REIT - Retail
FDX,Industrials,Integrated Freight & Logistics
FIS,Technology,Information Technology Services
FITB,Financial Services,Banks - Regional
FSLR,Technology,Solar
FE,Utilities,Utilities - Regulated Electric
FI,Technology,Information Technology Services
FMC,Basic Materials,Agricultural Inputs
F,Consumer Cyclical,Auto Manufacturers
FTNT,Technology,Software - Infrastructure
FTV,Technology,Scientific & Technical Instruments
FOXA,Communication Services,Entertainment
FOX,Communication Services,Entertainment
BEN,Financial Services,Asset Management
FCX,Basic Materials,Copper
GRMN,Technology,Scientific & Technical Instruments
IT,Technology,Information Technology Services
GE,Industrials,Aerospace & Defense
GEHC,Healthcare,Health Information Services
GEV,Utilities,Utilities - Renewable
GEN,Technology,Software - Infrastructure
GNRC,Industrials,Specialty Industrial Machinery
GD,Industrials,Aerospace & Defense
GIS,Consumer Defensive,Packaged Foods
GM,Consumer Cyclical,Auto Manufacturers
